Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
HAWK,14.083333333335759,24.0,0.0136666666658712,47.999999997206,89.9999999947613,,100,1119,1119,142.988943,Tubing Pressure,4825.0051280733
HAWK,14.125,24.0,0.0161666666657256,49.9999999970896,88.9999999948195,,100,1118,1118,142.988943,Tubing Pressure,4830.78614588601
HAWK,14.166666666664241,24.0,0.0146666666683741,50.0000000058208,87.0000000101281,,100,1117,1117,142.988943,Tubing Pressure,4803.1924266353
HAWK,14.208333333335759,24.0,0.0148749999991342,49.9999999970896,85.9999999949941,,100,1115,1115,142.988943,Tubing Pressure,4791.14849715824
HAWK,14.25,24.0,0.0141666666658421,50.9999999970314,86.9999999949359,,100,1112,1112,142.988943,Tubing Pressure,4802.82737239569
HAWK,14.291666666664241,24.0,0.0147916666683886,53.00000000617,86.0000000100117,,100,1111,1111,142.988943,Tubing Pressure,4802.35860363136
HAWK,14.333333333335759,24.0,0.0141666666658421,52.999999996915,84.9999999950523,,100,1111,1111,142.988943,Tubing Pressure,4791.85384843595
HAWK,14.375,24.0,0.0149999999991269,51.9999999969732,85.9999999949941,,100,1110,1110,142.988943,Tubing Pressure,4796.25814871727
HAWK,14.416666666664241,24.0,0.0145833333350311,54.0000000062864,87.0000000101281,,100,1109,1109,142.988943,Tubing Pressure,4816.29009606072
HAWK,14.458333333335759,24.0,0.014666666665813,52.999999996915,83.9999999951106,,100,1108,1108,142.988943,Tubing Pressure,4778.48172822631
HAWK,14.5,24.0,0.0149999999991269,53.9999999968568,84.9999999950523,,100,1105,1105,142.988943,Tubing Pressure,4791.37880978967
HAWK,14.541666666664241,24.0,0.0147500000017171,55.0000000064028,83.0000000096625,,100,1105,1105,142.988943,Tubing Pressure,4775.92735061835
HAWK,14.583333333335759,24.0,0.014666666665813,52.999999996915,82.9999999951688,,100,1103,1103,142.988943,Tubing Pressure,4763.07075605121
